Date,IONQ,RGTI,QBTS,QUBT,^IXIC
2026/03/05,-0.28460771500763316,-0.27854407477040377,-0.35933612713736807,-0.3432662843210186,-0.019235887859533007
,-0.29036741558987644,-0.2877394681654383,-0.3692946237066337,-0.34171826128343596,-0.034812861345476454
,-0.2875868913815114,-0.270498059875692,-0.3668049797785434,-0.3188854381757008,-0.021522614613579183
,-0.30248262172369766,-0.2812260553758109,-0.3692946237066337,-0.34249227280222727,-0.02147301848520966
,-0.3193644191394013,-0.2754789436387257,-0.3676348742784227,-0.34442722778540436,-0.020652535166307384
2026/03/12,-0.3439920599744677,-0.3168582504556261,-0.3829875663822607,-0.37809599071481437,-0.03807643815931172
,-0.3449850935112263,-0.32758624595574504,-0.3941908651297974,-0.374226006934659,-0.046984374356629166
,-0.33882816436155905,-0.33103452761369423,-0.38838176191683316,-0.375387024212846,-0.03539487906922967
,-0.3384309357941352,-0.3306513770874231,-0.3742738719912664,-0.37229105195148193,-0.030853002043545685
2026/03/18,-0.35690164747953435,-0.36819925172010326,-0.39834025848609866,-0.3935758520216345,-0.04495548010694239
